filename,material,status,n_points,max_D_nm,max_F_nN,k1_N_m,k3_N_m3,sigma_0_MPa,E_2D_N_m,R_squared,k3_reliable
linker1-paa-100nN-500nm.spm - NanoScope Analysis.txt,linker1,OK,128,229.12891992834184,132.41606050160686,0.6581035948995972,1.7373345617502876e-23,4.189617607792686,1.111894119520184e-21,0.9578228964135386,True
linker1-paa-500nm.spm - NanoScope Analysis.txt,linker1,OK,9,14.481530478198977,8.004986652606988,0.6283757627343725,1.3249149202608475e-19,4.000364350332615,8.479455489669424e-18,0.9150534207170732,True
linker1-paa-500nm-2.spm - NanoScope Analysis.txt,linker1,OK,8,12.743502334112163,6.498783661214816,0.5972967489654166,1.0595660979122921e-22,3.802509203622599,6.78122302663867e-21,0.8602206669880786,True
linker1-paa-1000nm.spm - NanoScope Analysis.txt,linker1,Linear only (4 pts),4,10.857748538858706,6.028060227989592,0.4025645192799006,0.0,2.5628053262723514,0.0,-0.17873048345097486,False
linker1-paa-1000nm-2.spm - NanoScope Analysis.txt,linker1,Linear only (3 pts),3,7.223088813215171,4.12657830749442,0.37476479633223586,0.0,2.3858267933241097,0.0,-0.5195102792478055,False
linker2-paa-.1500nm-2.spm - NanoScope Analysis.txt,linker2,OK,54,307.403140508394,22.295352354821475,0.08600052638867063,2.747704820502505e-19,0.5474963553304767,1.7585310851216033e-17,0.9382678508030601,True
linker2-paa-.2000nm-2.spm - NanoScope Analysis.txt,linker2,OK,15,108.60015695961441,5.677877623558167,0.0633348369615877,4.818517420257816e-24,0.4032020948942384,3.0838511489650023e-22,0.6872024338564273,True
linker2-paa-.2000nm.spm - NanoScope Analysis.txt,linker2,OK,44,249.88774376611005,15.282415672147046,0.0744482793900321,2.5203643698624674e-28,0.47395246678440334,1.6130331967119792e-26,0.8772519489863764,True
linker2-paa-.2500nm-2.spm - NanoScope Analysis.txt,linker2,Linear only (6 pts),6,48.473628186957335,2.487602691299891,0.04066325539977161,0.0,0.2588703239632742,0.0,-0.2618041224355363,False
linker2-paa-.2500nm.spm - NanoScope Analysis.txt,linker2,OK,13,92.86403539810405,6.208752213273105,0.07471067141488003,5e-324,0.47562290629570086,3.16e-322,0.9639487606440096,True
