file,disp_nm,setpoint,snap_f_nN,snap_depth_nm,max_drop_slope,max_rise_slope,asymmetry_ratio,energy_nN_nm,F_measured_nN,F_vdw_nN,F_cap_nN,A_mult
JJS-50nm-1000nm-10nN,1000.0,10.0nN,-115.9,19.5,-40.2,6.8,0.169,186.5,115.9,2.96,7.24,39.1
JJS-50nm-1000nm-50nN,1000.0,50.0nN,-114.2,19.5,-56.2,6.9,0.124,120.6,114.2,2.96,7.24,38.6
JJS-50nm-1000nm-8nN,1000.0,8.0nN,-121.8,21.5,-44.8,6.9,0.154,306.0,121.8,2.96,7.24,41.1
JJS-50nm-1000nm-8nN-,1000.0,8.0nN,-114.8,19.5,-34.7,6.7,0.194,203.5,114.8,2.96,7.24,38.7
JJS-50nm-1500nm-10nN,1500.0,10.0nN,-99.0,20.5,-33.6,6.5,0.194,146.0,99.0,2.96,7.24,33.4
JJS-50nm-1500nm-8nN,1500.0,8.0nN,-102.1,17.6,-28.6,6.5,0.226,662.1,102.1,2.96,7.24,34.5
JJS-50nm-1500nm-9nN,1500.0,9.0nN,-104.4,17.6,-20.4,6.4,0.314,334.2,104.4,2.96,7.24,35.2
JJS-50nm-454nm-8.862nN,454.0,8.862nN,-150.6,23.9,-93.6,6.9,0.074,126.7,150.6,2.96,7.24,50.8
JJS-50nm-500nm-10nN,500.0,10.0nN,-127.2,20.5,-88.6,7.3,0.082,101.7,127.2,2.96,7.24,42.9
JJS-50nm-500nm-8.862nN,500.0,8.862nN,-143.2,22.5,-114.4,7.3,0.064,180.8,143.2,2.96,7.24,48.3
JJS-50nm-500nm-9nN,500.0,9.0nN,-134.8,21.5,-77.7,7.0,0.09,139.3,134.8,2.96,7.24,45.5
